category,scientific_name,conservation_status,park_name,observations
Vascular Plant,Abies bifolia,Safe,Bryce National Park,109
Vascular Plant,Abies concolor,Safe,Bryce National Park,83
Vascular Plant,Abies fraseri,Species of Concern,Bryce National Park,109
Nonvascular Plant,Abietinella abietina,Safe,Bryce National Park,101
Vascular Plant,Abronia ammophila,Species of Concern,Bryce National Park,92
Vascular Plant,Abutilon theophrasti,Safe,Bryce National Park,84
Vascular Plant,Acalypha gracilens,Safe,Bryce National Park,68
Vascular Plant,Acalypha ostryifolia,Safe,Bryce National Park,95
Vascular Plant,Acalypha rhomboidea,Safe,Bryce National Park,90
Vascular Plant,Acalypha virginica,Safe,Bryce National Park,108
Bird,Acanthus flammea,Safe,Bryce National Park,95
Bird,Accipiter cooperii,Species of Concern,Bryce National Park,95
Bird,Accipiter gentilis,Safe,Bryce National Park,109
Bird,Accipiter striatus,Species of Concern,Bryce National Park,62
Vascular Plant,Acer glabrum,Safe,Bryce National Park,30
Vascular Plant,Acer glabrum var. torreyi,Safe,Bryce National Park,84
Vascular Plant,Acer leucoderme,Safe,Bryce National Park,125
Vascular Plant,Acer macrophyllum,Safe,Bryce National Park,105
Vascular Plant,Acer negundo,Safe,Bryce National Park,92
Vascular Plant,Acer negundo var. violaceum,Safe,Bryce National Park,91
Vascular Plant,Acer nigrum,Safe,Bryce National Park,110
Vascular Plant,Acer pensylvanicum,Safe,Bryce National Park,91
Vascular Plant,Acer platanoides,Safe,Bryce National Park,83
Vascular Plant,Acer rubrum var. rubrum,Safe,Bryce National Park,114
Vascular Plant,Acer rubrum var. trilobum,Safe,Bryce National Park,99
Vascular Plant,Acer saccharinum,Safe,Bryce National Park,121
Vascular Plant,Acer saccharum,Safe,Bryce National Park,124
Vascular Plant,Acer spicatum,Safe,Bryce National Park,89
Vascular Plant,Achillea millefolium,Safe,Bryce National Park,99
Vascular Plant,Achillea millefolium var. occidentalis,Safe,Bryce National Park,119
Vascular Plant,Achnatherum contractum,Species of Concern,Bryce National Park,122
Vascular Plant,Achnatherum hymenoides,Safe,Bryce National Park,90
Vascular Plant,Achnatherum latiglume,Safe,Bryce National Park,92
Vascular Plant,Achnatherum lemmonii,Safe,Bryce National Park,87
Vascular Plant,Achnatherum lettermanii,Safe,Bryce National Park,63
Vascular Plant,Achnatherum nelsonii ssp. dorei,Safe,Bryce National Park,101
Vascular Plant,Achnatherum nevadense,Safe,Bryce National Park,74
Vascular Plant,Achnatherum occidentale,Safe,Bryce National Park,106
Vascular Plant,Achnatherum occidentale ssp. californicum,Safe,Bryce National Park,77
Vascular Plant,Achnatherum occidentale ssp. occidentale,Safe,Bryce National Park,122
Vascular Plant,Achnatherum occidentale ssp. pubescens,Safe,Bryce National Park,58
Vascular Plant,Achnatherum pinetorum,Safe,Bryce National Park,101
Vascular Plant,Achnatherum richardsonii,Safe,Bryce National Park,76
Vascular Plant,Achnatherum thurberianum,Safe,Bryce National Park,71
Vascular Plant,Achnatherum X bloomeri,Safe,Bryce National Park,91
Vascular Plant,Aconitum columbianum,Safe,Bryce National Park,63
Vascular Plant,Aconitum columbianum ssp. columbianum,Safe,Bryce National Park,112
Vascular Plant,Aconitum uncinatum,Safe,Bryce National Park,115
Vascular Plant,Acorus calamus,Safe,Bryce National Park,121
Amphibian,Acris crepitans crepitans,Safe,Bryce National Park,112
Nonvascular Plant,Acrobolbus ciliatus,Safe,Bryce National Park,114
Vascular Plant,Actaea pachypoda,Safe,Bryce National Park,92
Vascular Plant,Actaea rubra,Safe,Bryce National Park,141
Bird,Actitis macularia,Safe,Bryce National Park,91
Bird,Actitis macularius,Safe,Bryce National Park,86
Vascular Plant,Adenocaulon bicolor,Safe,Bryce National Park,123
Vascular Plant,Adenostoma fasciculatum,Safe,Bryce National Park,128
Vascular Plant,Adiantum aleuticum,Safe,Bryce National Park,114
Vascular Plant,Adiantum jordanii,Safe,Bryce National Park,93
Vascular Plant,Adiantum pedatum,Safe,Bryce National Park,94
Vascular Plant,Adlumia fungosa,Safe,Bryce National Park,69
Vascular Plant,Adoxa moschatellina,Safe,Bryce National Park,121
Bird,Aechmophorus clarkii,Safe,Bryce National Park,99
Bird,Aechmophorus occidentalis,Species of Concern,Bryce National Park,80
Vascular Plant,Aegilops cylindrica,Safe,Bryce National Park,76
