category,scientific_name,conservation_status,park_name,observations
Vascular Plant,Abies bifolia,Safe,Great Smoky Mountains National Park,72
Vascular Plant,Abies concolor,Safe,Great Smoky Mountains National Park,101
Vascular Plant,Abies fraseri,Species of Concern,Great Smoky Mountains National Park,81
Nonvascular Plant,Abietinella abietina,Safe,Great Smoky Mountains National Park,65
Vascular Plant,Abronia ammophila,Species of Concern,Great Smoky Mountains National Park,72
Vascular Plant,Abutilon theophrasti,Safe,Great Smoky Mountains National Park,85
Vascular Plant,Acalypha gracilens,Safe,Great Smoky Mountains National Park,98
Vascular Plant,Acalypha ostryifolia,Safe,Great Smoky Mountains National Park,112
Vascular Plant,Acalypha rhomboidea,Safe,Great Smoky Mountains National Park,96
Vascular Plant,Acalypha virginica,Safe,Great Smoky Mountains National Park,80
Bird,Acanthus flammea,Safe,Great Smoky Mountains National Park,68
Bird,Accipiter cooperii,Species of Concern,Great Smoky Mountains National Park,65
Bird,Accipiter gentilis,Safe,Great Smoky Mountains National Park,78
Bird,Accipiter striatus,Species of Concern,Great Smoky Mountains National Park,69
Vascular Plant,Acer glabrum,Safe,Great Smoky Mountains National Park,123
Vascular Plant,Acer glabrum var. torreyi,Safe,Great Smoky Mountains National Park,75
Vascular Plant,Acer leucoderme,Safe,Great Smoky Mountains National Park,107
Vascular Plant,Acer macrophyllum,Safe,Great Smoky Mountains National Park,33
Vascular Plant,Acer negundo,Safe,Great Smoky Mountains National Park,72
Vascular Plant,Acer negundo var. violaceum,Safe,Great Smoky Mountains National Park,84
Vascular Plant,Acer nigrum,Safe,Great Smoky Mountains National Park,86
Vascular Plant,Acer pensylvanicum,Safe,Great Smoky Mountains National Park,96
Vascular Plant,Acer platanoides,Safe,Great Smoky Mountains National Park,53
Vascular Plant,Acer rubrum var. rubrum,Safe,Great Smoky Mountains National Park,67
Vascular Plant,Acer rubrum var. trilobum,Safe,Great Smoky Mountains National Park,105
Vascular Plant,Acer saccharinum,Safe,Great Smoky Mountains National Park,86
Vascular Plant,Acer saccharum,Safe,Great Smoky Mountains National Park,59
Vascular Plant,Acer spicatum,Safe,Great Smoky Mountains National Park,82
Vascular Plant,Achillea millefolium,Safe,Great Smoky Mountains National Park,45
Vascular Plant,Achillea millefolium var. occidentalis,Safe,Great Smoky Mountains National Park,87
Vascular Plant,Achnatherum contractum,Species of Concern,Great Smoky Mountains National Park,43
Vascular Plant,Achnatherum hymenoides,Safe,Great Smoky Mountains National Park,88
Vascular Plant,Achnatherum latiglume,Safe,Great Smoky Mountains National Park,76
Vascular Plant,Achnatherum lemmonii,Safe,Great Smoky Mountains National Park,100
Vascular Plant,Achnatherum lettermanii,Safe,Great Smoky Mountains National Park,60
Vascular Plant,Achnatherum nelsonii ssp. dorei,Safe,Great Smoky Mountains National Park,63
Vascular Plant,Achnatherum nevadense,Safe,Great Smoky Mountains National Park,36
Vascular Plant,Achnatherum occidentale,Safe,Great Smoky Mountains National Park,73
Vascular Plant,Achnatherum occidentale ssp. californicum,Safe,Great Smoky Mountains National Park,93
Vascular Plant,Achnatherum occidentale ssp. occidentale,Safe,Great Smoky Mountains National Park,68
Vascular Plant,Achnatherum occidentale ssp. pubescens,Safe,Great Smoky Mountains National Park,57
Vascular Plant,Achnatherum pinetorum,Safe,Great Smoky Mountains National Park,75
Vascular Plant,Achnatherum richardsonii,Safe,Great Smoky Mountains National Park,96
Vascular Plant,Achnatherum thurberianum,Safe,Great Smoky Mountains National Park,73
Vascular Plant,Achnatherum X bloomeri,Safe,Great Smoky Mountains National Park,82
Vascular Plant,Aconitum columbianum,Safe,Great Smoky Mountains National Park,77
Vascular Plant,Aconitum columbianum ssp. columbianum,Safe,Great Smoky Mountains National Park,91
Vascular Plant,Aconitum uncinatum,Safe,Great Smoky Mountains National Park,77
Vascular Plant,Acorus calamus,Safe,Great Smoky Mountains National Park,63
Amphibian,Acris crepitans crepitans,Safe,Great Smoky Mountains National Park,59
Nonvascular Plant,Acrobolbus ciliatus,Safe,Great Smoky Mountains National Park,77
Vascular Plant,Actaea pachypoda,Safe,Great Smoky Mountains National Park,78
Vascular Plant,Actaea rubra,Safe,Great Smoky Mountains National Park,77
Bird,Actitis macularia,Safe,Great Smoky Mountains National Park,66
Bird,Actitis macularius,Safe,Great Smoky Mountains National Park,87
Vascular Plant,Adenocaulon bicolor,Safe,Great Smoky Mountains National Park,97
Vascular Plant,Adenostoma fasciculatum,Safe,Great Smoky Mountains National Park,57
Vascular Plant,Adiantum aleuticum,Safe,Great Smoky Mountains National Park,112
Vascular Plant,Adiantum jordanii,Safe,Great Smoky Mountains National Park,62
Vascular Plant,Adiantum pedatum,Safe,Great Smoky Mountains National Park,110
Vascular Plant,Adlumia fungosa,Safe,Great Smoky Mountains National Park,53
Vascular Plant,Adoxa moschatellina,Safe,Great Smoky Mountains National Park,86
Bird,Aechmophorus clarkii,Safe,Great Smoky Mountains National Park,68
Bird,Aechmophorus occidentalis,Species of Concern,Great Smoky Mountains National Park,64
Vascular Plant,Aegilops cylindrica,Safe,Great Smoky Mountains National Park,66
Bird,Aegolius,Safe,Great Smoky Mountains National Park,42
Bird,Aegolius acadicus,Safe,Great Smoky Mountains National Park,86
Bird,Aegolius funereus,Safe,Great Smoky Mountains National Park,82
Vascular Plant,Aegopodium podagraria,Safe,Great Smoky Mountains National Park,52
Bird,Aeronautes saxatalis,Safe,Great Smoky Mountains National Park,77
Vascular Plant,Aesculus californica,Safe,Great Smoky Mountains National Park,89
Vascular Plant,Aesculus flava,Safe,Great Smoky Mountains National Park,73
Vascular Plant,Aesculus glabra,Safe,Great Smoky Mountains National Park,94
Vascular Plant,Aesculus pavia,Safe,Great Smoky Mountains National Park,49
Vascular Plant,Aesculus sylvatica,Safe,Great Smoky Mountains National Park,69
Vascular Plant,Agalinis purpurea,Safe,Great Smoky Mountains National Park,71
Vascular Plant,Agalinis setacea,Safe,Great Smoky Mountains National Park,82
Vascular Plant,Agalinis tenuifolia,Safe,Great Smoky Mountains National Park,59
Vascular Plant,Agastache nepetoides,Safe,Great Smoky Mountains National Park,76
Vascular Plant,Agastache scrophulariifolia,Safe,Great Smoky Mountains National Park,55
Vascular Plant,Agastache urticifolia,Safe,Great Smoky Mountains National Park,57
Bird,Agelaius phoeniceus,Safe,Great Smoky Mountains National Park,83
Vascular Plant,Ageratina altissima,Safe,Great Smoky Mountains National Park,64
Vascular Plant,Ageratina altissima var. altissima,Safe,Great Smoky Mountains National Park,81
Vascular Plant,Ageratina altissima var. roanensis,Safe,Great Smoky Mountains National Park,63
Vascular Plant,Ageratina aromatica var. aromatica,Safe,Great Smoky Mountains National Park,84
Vascular Plant,Ageratina occidentalis,Safe,Great Smoky Mountains National Park,74
Reptile,Agkistrodon contortrix mokasen,Safe,Great Smoky Mountains National Park,43
Vascular Plant,Agoseris aurantiaca,Safe,Great Smoky Mountains National Park,81
Vascular Plant,Agoseris elata,Safe,Great Smoky Mountains National Park,68
Vascular Plant,Agoseris glauca var. dasycephala,Safe,Great Smoky Mountains National Park,93
Vascular Plant,Agoseris glauca var. glauca,Safe,Great Smoky Mountains National Park,62
Vascular Plant,Agoseris glauca var. laciniata,Safe,Great Smoky Mountains National Park,43
Vascular Plant,Agoseris glauca var. monticola,Safe,Great Smoky Mountains National Park,40
Vascular Plant,Agoseris grandiflora,Safe,Great Smoky Mountains National Park,68
Vascular Plant,Agoseris heterophylla,Safe,Great Smoky Mountains National Park,92
Vascular Plant,Agoseris lackschewitzii,Safe,Great Smoky Mountains National Park,46
Vascular Plant,Agoseris retrorsa,Safe,Great Smoky Mountains National Park,84
Vascular Plant,Agrimonia gryposepala,Safe,Great Smoky Mountains National Park,67
Vascular Plant,Agrimonia microcarpa,Safe,Great Smoky Mountains National Park,80
Vascular Plant,Agrimonia parviflora,Safe,Great Smoky Mountains National Park,78
Vascular Plant,Agrimonia pubescens,Safe,Great Smoky Mountains National Park,93
Vascular Plant,Agrimonia rostellata,Safe,Great Smoky Mountains National Park,116
Vascular Plant,Agrostemma githago,Safe,Great Smoky Mountains National Park,134
Vascular Plant,Agrostis capillaris,Safe,Great Smoky Mountains National Park,84
Vascular Plant,Agrostis capillaris,Safe,Great Smoky Mountains National Park,97
Vascular Plant,Agrostis elliottiana,Safe,Great Smoky Mountains National Park,72
Vascular Plant,Agrostis exarata,Safe,Great Smoky Mountains National Park,93
Vascular Plant,Agrostis gigantea,Safe,Great Smoky Mountains National Park,93
Vascular Plant,Agrostis gigantea,Safe,Great Smoky Mountains National Park,57
Vascular Plant,Agrostis humilis,Safe,Great Smoky Mountains National Park,115
Vascular Plant,Agrostis hyemalis,Safe,Great Smoky Mountains National Park,59
Vascular Plant,Agrostis idahoensis,Safe,Great Smoky Mountains National Park,42
Vascular Plant,Agrostis mertensii,Safe,Great Smoky Mountains National Park,54
Vascular Plant,Agrostis mertensii,Safe,Great Smoky Mountains National Park,87
Vascular Plant,Agrostis oregonensis,Safe,Great Smoky Mountains National Park,74
Vascular Plant,Agrostis pallens,Safe,Great Smoky Mountains National Park,50
Vascular Plant,Agrostis perennans,Safe,Great Smoky Mountains National Park,89
Vascular Plant,Agrostis rossiae,Safe,Great Smoky Mountains National Park,95
Vascular Plant,Agrostis scabra,Safe,Great Smoky Mountains National Park,91
Vascular Plant,Agrostis scabra,Safe,Great Smoky Mountains National Park,48
Vascular Plant,Agrostis scabra var. scabra,Safe,Great Smoky Mountains National Park,74
Vascular Plant,Agrostis stolonifera,Safe,Great Smoky Mountains National Park,77
Vascular Plant,Agrostis stolonifera,Safe,Great Smoky Mountains National Park,106
Vascular Plant,Agrostis thurberiana,Safe,Great Smoky Mountains National Park,39
Vascular Plant,Agrostis variabilis,Safe,Great Smoky Mountains National Park,105
Vascular Plant,Agrostis variabilis,Safe,Great Smoky Mountains National Park,48
Vascular Plant,Ailanthus altissima,Safe,Great Smoky Mountains National Park,82
Bird,Aimophila aestivalis,Species of Concern,Great Smoky Mountains National Park,49
Bird,Aimophila ruficeps,Safe,Great Smoky Mountains National Park,51
Vascular Plant,Aira caryophyllea,Safe,Great Smoky Mountains National Park,64
Bird,Aix sponsa,Safe,Great Smoky Mountains National Park,77
Vascular Plant,Ajuga reptans,Safe,Great Smoky Mountains National Park,60
Vascular Plant,Albizia julibrissin,Safe,Great Smoky Mountains National Park,54
Vascular Plant,Alcea rosea,Safe,Great Smoky Mountains National Park,73
Mammal,Alces alces,Safe,Great Smoky Mountains National Park,44
Mammal,Alces alces shirasi,Safe,Great Smoky Mountains National Park,83
Bird,Alectoris chukar,Safe,Great Smoky Mountains National Park,80
Bird,Alectoris chukar,Safe,Great Smoky Mountains National Park,100
Vascular Plant,Aletris farinosa,Safe,Great Smoky Mountains National Park,85
Vascular Plant,Alisma plantago-aquatica,Safe,Great Smoky Mountains National Park,64
Vascular Plant,Alisma subcordatum,Safe,Great Smoky Mountains National Park,69
Vascular Plant,Alisma triviale,Safe,Great Smoky Mountains National Park,69
Vascular Plant,Alliaria petiolata,Safe,Great Smoky Mountains National Park,70
Vascular Plant,Allium ampeloprasum,Safe,Great Smoky Mountains National Park,70
Vascular Plant,Allium amplectens,Safe,Great Smoky Mountains National Park,112
Vascular Plant,Allium bisceptrum var. bisceptrum,Safe,Great Smoky Mountains National Park,68
Vascular Plant,Allium brandegeei,Safe,Great Smoky Mountains National Park,62
Vascular Plant,Allium brevistylum,Safe,Great Smoky Mountains National Park,118
Vascular Plant,Allium burdickii,Safe,Great Smoky Mountains National Park,90
