category,scientific_name,common_names,conservation_status
Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,Safe
Mammal,Bos bison,"American Bison, Bison",Safe
Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",Safe
Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",Safe
Mammal,Cervus elaphus,Wapiti Or Elk,Safe
Mammal,Odocoileus virginianus,White-Tailed Deer,Safe
Mammal,Sus scrofa,"Feral Hog, Wild Pig",Safe
Mammal,Canis latrans,Coyote,Species of Concern
Mammal,Canis lupus,Gray Wolf,Endangered
Mammal,Canis rufus,Red Wolf,Endangered
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Safe
Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",Safe
Mammal,Vulpes vulpes,Red Fox,Safe
Mammal,Felis concolor,Mountain Lion,Safe
Mammal,Felis silvestris,"Wild Cat, Wildcat",Safe
Mammal,Lynx rufus,Bobcat,Safe
Mammal,Puma concolor,Panther (Mountain Lion),Safe
Mammal,Mephitis mephitis,Striped Skunk,Safe
Mammal,Spilogale putorius,Eastern Spotted Skunk,Safe
Mammal,Lontra canadensis,River Otter,Safe
Mammal,Lutra canadensis,Northern River Otter,Safe
Mammal,Martes pennanti,Fisher,Safe
Mammal,Mustela,Mink (Or Weasel),Safe
Mammal,Mustela frenata,Long-Tailed Weasel,Safe
Mammal,Mustela nivalis,Least Weasel,Safe
Mammal,Mustela vison,Mink,Safe
Mammal,Procyon lotor,"Common Raccoon, Raccoon",Safe
Mammal,Ursus americanus,Black Bear,Safe
Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,Safe
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern
Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern
Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",Safe
Mammal,Lasiurus cinereus,Hoary Bat,Safe
Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern
Mammal,Myotis grisescens,Gray Myotis,Endangered
Mammal,Myotis keenii,Keen's Myotis,Species of Concern
Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern
Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern
Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened
Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered
Mammal,Nycticeius humeralis,Evening Bat,Safe
Mammal,Pipistrellus subflavus,Eastern Pipistrelle,Safe
Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",Safe
Mammal,Lepus americanus,Snowshoe Hare,Safe
Mammal,Sylvilagus floridanus,Eastern Cottontail,Safe
Mammal,Sylvilagus obscurus,Appalachian Cottontail,Safe
Mammal,Sylvilagus transitionalis,New England Cottontail,Safe
Mammal,Equus caballus,"Feral Horse, Horse",Safe
Mammal,Homo sapiens,"Human, Humans, Man",Safe
Mammal,Castor canadensis,"American Beaver, Beaver",Safe
Mammal,Clethrionomys gapperi,Southern Red-Backed Vole,Safe
Mammal,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole",Safe
Mammal,Microtus pennsylvanicus,Meadow Vole,Safe
Mammal,Microtus pinetorum,Woodland Vole,Safe
Mammal,Neotoma floridana,Eastern Woodrat,Safe
Mammal,Neotoma magister,"Allegheny Woodrat, Appalachian Woodrat",Safe
Mammal,Ochrotomys nuttalli,Golden Mouse,Safe
Mammal,Ondatra zibethicus,Muskrat,Safe
Mammal,Oryzomys palustris,Marsh Rice Rat,Safe
Mammal,Oryzomys palustris palustris,Marsh Rice Rat,Safe
Mammal,Peromyscus gossypinus,Cotton Mouse,Safe
Mammal,Peromyscus leucopus,White-Footed Mouse,Safe
Mammal,Peromyscus maniculatus,Deer Mouse,Safe
Mammal,Reithrodontomys humulis,Eastern Harvest Mouse,Safe
Mammal,Synaptomys cooperi,Southern Bog Lemming,Safe
Mammal,Synaptomys cooperi stonei,Stone's Southern Bog Lemming,Safe
Mammal,Napaeozapus insignis,Woodland Jumping Mouse,Safe
Mammal,Zapus hudsonius,Meadow Jumping Mouse,Safe
Mammal,Erethizon dorsatum,"Common Porcupine, Porcupine",Safe
Mammal,Mus musculus,House Mouse,Safe
