category,scientific_name,conservation_status,park_name,observations
Vascular Plant,Abies bifolia,Safe,Yellowstone National Park,215
Vascular Plant,Abies concolor,Safe,Yellowstone National Park,241
Vascular Plant,Abies fraseri,Species of Concern,Yellowstone National Park,218
Nonvascular Plant,Abietinella abietina,Safe,Yellowstone National Park,243
Vascular Plant,Abronia ammophila,Species of Concern,Yellowstone National Park,222
Vascular Plant,Abutilon theophrasti,Safe,Yellowstone National Park,262
Vascular Plant,Acalypha gracilens,Safe,Yellowstone National Park,263
Vascular Plant,Acalypha ostryifolia,Safe,Yellowstone National Park,243
Vascular Plant,Acalypha rhomboidea,Safe,Yellowstone National Park,245
Vascular Plant,Acalypha virginica,Safe,Yellowstone National Park,229
Bird,Acanthus flammea,Safe,Yellowstone National Park,241
Bird,Accipiter cooperii,Species of Concern,Yellowstone National Park,245
Bird,Accipiter gentilis,Safe,Yellowstone National Park,232
Bird,Accipiter striatus,Species of Concern,Yellowstone National Park,200
Vascular Plant,Acer glabrum,Safe,Yellowstone National Park,247
Vascular Plant,Acer glabrum var. torreyi,Safe,Yellowstone National Park,282
Vascular Plant,Acer leucoderme,Safe,Yellowstone National Park,256
Vascular Plant,Acer macrophyllum,Safe,Yellowstone National Park,252
Vascular Plant,Acer negundo,Safe,Yellowstone National Park,257
Vascular Plant,Acer negundo var. violaceum,Safe,Yellowstone National Park,222
Vascular Plant,Acer nigrum,Safe,Yellowstone National Park,258
Vascular Plant,Acer pensylvanicum,Safe,Yellowstone National Park,284
Vascular Plant,Acer platanoides,Safe,Yellowstone National Park,243
Vascular Plant,Acer rubrum var. rubrum,Safe,Yellowstone National Park,274
Vascular Plant,Acer rubrum var. trilobum,Safe,Yellowstone National Park,251
Vascular Plant,Acer saccharinum,Safe,Yellowstone National Park,229
Vascular Plant,Acer saccharum,Safe,Yellowstone National Park,236
Vascular Plant,Acer spicatum,Safe,Yellowstone National Park,263
Vascular Plant,Achillea millefolium,Safe,Yellowstone National Park,270
Vascular Plant,Achillea millefolium var. occidentalis,Safe,Yellowstone National Park,277
Vascular Plant,Achnatherum contractum,Species of Concern,Yellowstone National Park,219
Vascular Plant,Achnatherum hymenoides,Safe,Yellowstone National Park,233
Vascular Plant,Achnatherum latiglume,Safe,Yellowstone National Park,233
Vascular Plant,Achnatherum lemmonii,Safe,Yellowstone National Park,245
Vascular Plant,Achnatherum lettermanii,Safe,Yellowstone National Park,252
Vascular Plant,Achnatherum nelsonii ssp. dorei,Safe,Yellowstone National Park,221
Vascular Plant,Achnatherum nevadense,Safe,Yellowstone National Park,272
Vascular Plant,Achnatherum occidentale,Safe,Yellowstone National Park,258
Vascular Plant,Achnatherum occidentale ssp. californicum,Safe,Yellowstone National Park,235
Vascular Plant,Achnatherum occidentale ssp. occidentale,Safe,Yellowstone National Park,233
Vascular Plant,Achnatherum occidentale ssp. pubescens,Safe,Yellowstone National Park,202
Vascular Plant,Achnatherum pinetorum,Safe,Yellowstone National Park,288
Vascular Plant,Achnatherum richardsonii,Safe,Yellowstone National Park,255
Vascular Plant,Achnatherum thurberianum,Safe,Yellowstone National Park,251
Vascular Plant,Achnatherum X bloomeri,Safe,Yellowstone National Park,261
Vascular Plant,Aconitum columbianum,Safe,Yellowstone National Park,242
Vascular Plant,Aconitum columbianum ssp. columbianum,Safe,Yellowstone National Park,242
Vascular Plant,Aconitum uncinatum,Safe,Yellowstone National Park,248
Vascular Plant,Acorus calamus,Safe,Yellowstone National Park,232
Amphibian,Acris crepitans crepitans,Safe,Yellowstone National Park,228
Nonvascular Plant,Acrobolbus ciliatus,Safe,Yellowstone National Park,233
Vascular Plant,Actaea pachypoda,Safe,Yellowstone National Park,225
Vascular Plant,Actaea rubra,Safe,Yellowstone National Park,219
Bird,Actitis macularia,Safe,Yellowstone National Park,265
Bird,Actitis macularius,Safe,Yellowstone National Park,290
Vascular Plant,Adenocaulon bicolor,Safe,Yellowstone National Park,210
Vascular Plant,Adenostoma fasciculatum,Safe,Yellowstone National Park,245
Vascular Plant,Adiantum aleuticum,Safe,Yellowstone National Park,231
Vascular Plant,Adiantum jordanii,Safe,Yellowstone National Park,249
Vascular Plant,Adiantum pedatum,Safe,Yellowstone National Park,241
Vascular Plant,Adlumia fungosa,Safe,Yellowstone National Park,246
Vascular Plant,Adoxa moschatellina,Safe,Yellowstone National Park,250
Bird,Aechmophorus clarkii,Safe,Yellowstone National Park,244
Bird,Aechmophorus occidentalis,Species of Concern,Yellowstone National Park,233
Vascular Plant,Aegilops cylindrica,Safe,Yellowstone National Park,245
Bird,Aegolius,Safe,Yellowstone National Park,263
Bird,Aegolius acadicus,Safe,Yellowstone National Park,234
Bird,Aegolius funereus,Safe,Yellowstone National Park,260
Vascular Plant,Aegopodium podagraria,Safe,Yellowstone National Park,249
Bird,Aeronautes saxatalis,Safe,Yellowstone National Park,264
Vascular Plant,Aesculus californica,Safe,Yellowstone National Park,246
Vascular Plant,Aesculus flava,Safe,Yellowstone National Park,212
Vascular Plant,Aesculus glabra,Safe,Yellowstone National Park,247
Vascular Plant,Aesculus pavia,Safe,Yellowstone National Park,199
Vascular Plant,Aesculus sylvatica,Safe,Yellowstone National Park,263
Vascular Plant,Agalinis purpurea,Safe,Yellowstone National Park,263
Vascular Plant,Agalinis setacea,Safe,Yellowstone National Park,202
Vascular Plant,Agalinis tenuifolia,Safe,Yellowstone National Park,257
Vascular Plant,Agastache nepetoides,Safe,Yellowstone National Park,237
Vascular Plant,Agastache scrophulariifolia,Safe,Yellowstone National Park,232
Vascular Plant,Agastache urticifolia,Safe,Yellowstone National Park,236
Bird,Agelaius phoeniceus,Safe,Yellowstone National Park,250
Vascular Plant,Ageratina altissima,Safe,Yellowstone National Park,254
Vascular Plant,Ageratina altissima var. altissima,Safe,Yellowstone National Park,249
Vascular Plant,Ageratina altissima var. roanensis,Safe,Yellowstone National Park,249
Vascular Plant,Ageratina aromatica var. aromatica,Safe,Yellowstone National Park,205
Vascular Plant,Ageratina occidentalis,Safe,Yellowstone National Park,246
Reptile,Agkistrodon contortrix mokasen,Safe,Yellowstone National Park,212
Vascular Plant,Agoseris aurantiaca,Safe,Yellowstone National Park,241
Vascular Plant,Agoseris elata,Safe,Yellowstone National Park,239
Vascular Plant,Agoseris glauca var. dasycephala,Safe,Yellowstone National Park,257
Vascular Plant,Agoseris glauca var. glauca,Safe,Yellowstone National Park,280
Vascular Plant,Agoseris glauca var. laciniata,Safe,Yellowstone National Park,290
Vascular Plant,Agoseris glauca var. monticola,Safe,Yellowstone National Park,245
Vascular Plant,Agoseris grandiflora,Safe,Yellowstone National Park,221
Vascular Plant,Agoseris heterophylla,Safe,Yellowstone National Park,277
Vascular Plant,Agoseris lackschewitzii,Safe,Yellowstone National Park,263
Vascular Plant,Agoseris retrorsa,Safe,Yellowstone National Park,280
Vascular Plant,Agrimonia gryposepala,Safe,Yellowstone National Park,232
Vascular Plant,Agrimonia microcarpa,Safe,Yellowstone National Park,254
Vascular Plant,Agrimonia parviflora,Safe,Yellowstone National Park,232
Vascular Plant,Agrimonia pubescens,Safe,Yellowstone National Park,238
Vascular Plant,Agrimonia rostellata,Safe,Yellowstone National Park,249
Vascular Plant,Agrostemma githago,Safe,Yellowstone National Park,260
Vascular Plant,Agrostis capillaris,Safe,Yellowstone National Park,241
Vascular Plant,Agrostis capillaris,Safe,Yellowstone National Park,267
Vascular Plant,Agrostis elliottiana,Safe,Yellowstone National Park,235
Vascular Plant,Agrostis exarata,Safe,Yellowstone National Park,241
Vascular Plant,Agrostis gigantea,Safe,Yellowstone National Park,253
Vascular Plant,Agrostis gigantea,Safe,Yellowstone National Park,235
Vascular Plant,Agrostis humilis,Safe,Yellowstone National Park,250
Vascular Plant,Agrostis hyemalis,Safe,Yellowstone National Park,255
Vascular Plant,Agrostis idahoensis,Safe,Yellowstone National Park,249
Vascular Plant,Agrostis mertensii,Safe,Yellowstone National Park,271
Vascular Plant,Agrostis mertensii,Safe,Yellowstone National Park,251
Vascular Plant,Agrostis oregonensis,Safe,Yellowstone National Park,300
Vascular Plant,Agrostis pallens,Safe,Yellowstone National Park,240
Vascular Plant,Agrostis perennans,Safe,Yellowstone National Park,236
Vascular Plant,Agrostis rossiae,Safe,Yellowstone National Park,250
Vascular Plant,Agrostis scabra,Safe,Yellowstone National Park,247
Vascular Plant,Agrostis scabra,Safe,Yellowstone National Park,253
Vascular Plant,Agrostis scabra var. scabra,Safe,Yellowstone National Park,260
Vascular Plant,Agrostis stolonifera,Safe,Yellowstone National Park,262
Vascular Plant,Agrostis stolonifera,Safe,Yellowstone National Park,288
Vascular Plant,Agrostis thurberiana,Safe,Yellowstone National Park,244
Vascular Plant,Agrostis variabilis,Safe,Yellowstone National Park,251
Vascular Plant,Agrostis variabilis,Safe,Yellowstone National Park,259
Vascular Plant,Ailanthus altissima,Safe,Yellowstone National Park,273
Bird,Aimophila aestivalis,Species of Concern,Yellowstone National Park,228
Bird,Aimophila ruficeps,Safe,Yellowstone National Park,238
Vascular Plant,Aira caryophyllea,Safe,Yellowstone National Park,222
Bird,Aix sponsa,Safe,Yellowstone National Park,278
Vascular Plant,Ajuga reptans,Safe,Yellowstone National Park,226
Vascular Plant,Albizia julibrissin,Safe,Yellowstone National Park,243
Vascular Plant,Alcea rosea,Safe,Yellowstone National Park,291
Mammal,Alces alces,Safe,Yellowstone National Park,197
Mammal,Alces alces shirasi,Safe,Yellowstone National Park,245
Bird,Alectoris chukar,Safe,Yellowstone National Park,253
Bird,Alectoris chukar,Safe,Yellowstone National Park,281
Vascular Plant,Aletris farinosa,Safe,Yellowstone National Park,216
Vascular Plant,Alisma plantago-aquatica,Safe,Yellowstone National Park,290
Vascular Plant,Alisma subcordatum,Safe,Yellowstone National Park,226
Vascular Plant,Alisma triviale,Safe,Yellowstone National Park,273
Vascular Plant,Alliaria petiolata,Safe,Yellowstone National Park,240
Vascular Plant,Allium ampeloprasum,Safe,Yellowstone National Park,244
Vascular Plant,Allium amplectens,Safe,Yellowstone National Park,239
Vascular Plant,Allium bisceptrum var. bisceptrum,Safe,Yellowstone National Park,276
Vascular Plant,Allium brandegeei,Safe,Yellowstone National Park,239
Vascular Plant,Allium brevistylum,Safe,Yellowstone National Park,263
Vascular Plant,Allium burdickii,Safe,Yellowstone National Park,223
Vascular Plant,Allium campanulatum,Safe,Yellowstone National Park,234
Vascular Plant,Allium canadense,Safe,Yellowstone National Park,266
Vascular Plant,Allium cernuum,Safe,Yellowstone National Park,236
Vascular Plant,Allium cernuum var. cernuum,Safe,Yellowstone National Park,225
Vascular Plant,Allium geyeri var. tenerum,Safe,Yellowstone National Park,237
Vascular Plant,Allium hyalinum,Safe,Yellowstone National Park,245
Vascular Plant,Allium obtusum,Safe,Yellowstone National Park,230
Vascular Plant,Allium obtusum var. conspicuum,Safe,Yellowstone National Park,244
Vascular Plant,Allium obtusum var. obtusum,Safe,Yellowstone National Park,262
Vascular Plant,Allium schoenoprasum,Safe,Yellowstone National Park,248
Vascular Plant,Allium textile,Safe,Yellowstone National Park,260
Vascular Plant,Allium tribracteatum,Species of Concern,Yellowstone National Park,230
Vascular Plant,Allium tricoccum,Safe,Yellowstone National Park,300
Vascular Plant,Allium validum,Safe,Yellowstone National Park,227
Vascular Plant,Allium vineale,Safe,Yellowstone National Park,258
Vascular Plant,Allium yosemitense,Safe,Yellowstone National Park,226
Vascular Plant,Allophyllum divaricatum,Safe,Yellowstone National Park,205
Vascular Plant,Allophyllum gilioides ssp. gilioides,Safe,Yellowstone National Park,231
Vascular Plant,Allophyllum gilioides ssp. violaceum,Safe,Yellowstone National Park,275
Vascular Plant,Allophyllum integrifolium,Safe,Yellowstone National Park,266
Vascular Plant,Allotropa virgata,Safe,Yellowstone National Park,226
Vascular Plant,Alnus incana ssp. tenuifolia,Safe,Yellowstone National Park,231
Vascular Plant,Alnus rhombifolia,Safe,Yellowstone National Park,228
Vascular Plant,Alnus serrulata,Safe,Yellowstone National Park,234
Vascular Plant,Alopecurus aequalis,Safe,Yellowstone National Park,256
Vascular Plant,Alopecurus arundinaceus,Safe,Yellowstone National Park,259
Vascular Plant,Alopecurus borealis,Safe,Yellowstone National Park,230
Vascular Plant,Alopecurus carolinianus,Safe,Yellowstone National Park,255
Vascular Plant,Alopecurus pratensis,Safe,Yellowstone National Park,270
Vascular Plant,Alyssum alyssoides,Safe,Yellowstone National Park,235
Vascular Plant,Alyssum desertorum,Safe,Yellowstone National Park,262
Vascular Plant,Amaranthus albus,Safe,Yellowstone National Park,212
Vascular Plant,Amaranthus albus,Safe,Yellowstone National Park,234
Vascular Plant,Amaranthus blitoides,Safe,Yellowstone National Park,228
Vascular Plant,Amaranthus californicus,Safe,Yellowstone National Park,274
Vascular Plant,Amaranthus hybridus,Safe,Yellowstone National Park,221
Vascular Plant,Amaranthus retroflexus,Safe,Yellowstone National Park,247
Vascular Plant,Amaranthus retroflexus,Safe,Yellowstone National Park,231
Vascular Plant,Amaranthus spinosus,Safe,Yellowstone National Park,245
Fish,Ambloplites rupestris,Safe,Yellowstone National Park,220
Nonvascular Plant,Amblystegium serpens,Safe,Yellowstone National Park,251
Nonvascular Plant,Amblystegium varium,Safe,Yellowstone National Park,274
Vascular Plant,Ambrosia artemisiifolia,Safe,Yellowstone National Park,243
Vascular Plant,Ambrosia artemisiifolia,Safe,Yellowstone National Park,199
Vascular Plant,Ambrosia bidentata,Safe,Yellowstone National Park,254
Vascular Plant,Ambrosia psilostachya,Safe,Yellowstone National Park,248
Vascular Plant,Ambrosia trifida,Safe,Yellowstone National Park,279
Amphibian,Ambystoma maculatum,Safe,Yellowstone National Park,233
Amphibian,Ambystoma mavortium melanostictum,Safe,Yellowstone National Park,287
Amphibian,Ambystoma opacum,Safe,Yellowstone National Park,301
Amphibian,Ambystoma talpoideum,Safe,Yellowstone National Park,254
Fish,Ameiurus melas,Safe,Yellowstone National Park,265
Fish,Ameiurus natalis,Safe,Yellowstone National Park,240
Vascular Plant,Amelanchier alnifolia var. alnifolia,Safe,Yellowstone National Park,267
Vascular Plant,Amelanchier alnifolia var. pumila,Safe,Yellowstone National Park,274
Vascular Plant,Amelanchier arborea,Safe,Yellowstone National Park,240
Vascular Plant,Amelanchier canadensis,Safe,Yellowstone National Park,253
Vascular Plant,Amelanchier laevis,Safe,Yellowstone National Park,263
Vascular Plant,Amelanchier sanguinea,Safe,Yellowstone National Park,242
Vascular Plant,Amelanchier utahensis,Safe,Yellowstone National Park,242
Vascular Plant,Amianthium muscitoxicum,Safe,Yellowstone National Park,270
Vascular Plant,Ammannia coccinea,Safe,Yellowstone National Park,286
Bird,Ammodramus henslowii,Safe,Yellowstone National Park,236
Bird,Ammodramus leconteii,Safe,Yellowstone National Park,213
Bird,Ammodramus savannarum,Species of Concern,Yellowstone National Park,241
Vascular Plant,Ammoselinum butleri,Safe,Yellowstone National Park,283
Vascular Plant,Amorpha fruticosa,Safe,Yellowstone National Park,258
Vascular Plant,Amorpha georgiana,Safe,Yellowstone National Park,242
Vascular Plant,Amorpha glabra,Safe,Yellowstone National Park,265
Vascular Plant,Ampelopsis arborea,Safe,Yellowstone National Park,256
Vascular Plant,Ampelopsis cordata,Safe,Yellowstone National Park,237
Vascular Plant,Amphicarpaea bracteata,Safe,Yellowstone National Park,264
Nonvascular Plant,Amphidium mougeotii,Safe,Yellowstone National Park,255
Bird,Amphispiza bilineata,Safe,Yellowstone National Park,239
Vascular Plant,Amsinckia lycopsoides,Safe,Yellowstone National Park,208
Vascular Plant,Amsinckia menziesii,Safe,Yellowstone National Park,221
Vascular Plant,Amsinckia menziesii var. intermedia,Safe,Yellowstone National Park,284
Vascular Plant,Amsinckia menziesii var. menziesii,Safe,Yellowstone National Park,277
Vascular Plant,Amsonia tabernaemontana var. tabernaemontana,Safe,Yellowstone National Park,282
Nonvascular Plant,Anacamptodon splachnoides,Safe,Yellowstone National Park,259
Vascular Plant,Anagallis arvensis,Safe,Yellowstone National Park,239
Vascular Plant,Anagallis arvensis,Safe,Yellowstone National Park,251
Vascular Plant,Anagallis minima,Safe,Yellowstone National Park,253
Vascular Plant,Anaphalis margaritacea,Safe,Yellowstone National Park,247
Bird,Anas acuta,Safe,Yellowstone National Park,248
Bird,Anas americana,Safe,Yellowstone National Park,224
Bird,Anas clypeata,Safe,Yellowstone National Park,269
Bird,Anas crecca,Safe,Yellowstone National Park,269
Bird,Anas cyanoptera,Safe,Yellowstone National Park,244
Bird,Anas discors,Safe,Yellowstone National Park,260
Bird,Anas penelope,Safe,Yellowstone National Park,257
Bird,Anas platyrhynchos,Safe,Yellowstone National Park,253
Bird,Anas rubripes,Safe,Yellowstone National Park,273
Bird,Anas strepera,Safe,Yellowstone National Park,198
Nonvascular Plant,Anastrophyllum helleranum,Safe,Yellowstone National Park,233
Nonvascular Plant,Anastrophyllum michauxii,Safe,Yellowstone National Park,219
Nonvascular Plant,Anastrophyllum minutum,Safe,Yellowstone National Park,211
Nonvascular Plant,Anastrophyllum saxicola,Safe,Yellowstone National Park,259
Amphibian,Anaxyrus boreas boreas,Safe,Yellowstone National Park,257
Amphibian,Anaxyrus boreas halophilus,Safe,Yellowstone National Park,258
Amphibian,Anaxyrus canorus,Threatened,Yellowstone National Park,114
Nonvascular Plant,Andreaea rothii,Safe,Yellowstone National Park,276
Nonvascular Plant,Andreaea rupestris,Safe,Yellowstone National Park,243
Vascular Plant,Andropogon gerardii,Safe,Yellowstone National Park,271
Vascular Plant,Andropogon glomeratus,Safe,Yellowstone National Park,264
Vascular Plant,Andropogon gyrans var. gyrans,Safe,Yellowstone National Park,245
Vascular Plant,Andropogon ternarius,Safe,Yellowstone National Park,217
Vascular Plant,Andropogon virginicus,Safe,Yellowstone National Park,224
Vascular Plant,Andropogon virginicus var. virginicus,Safe,Yellowstone National Park,231
Vascular Plant,Androsace filiformis,Safe,Yellowstone National Park,265
Vascular Plant,Androsace occidentalis,Safe,Yellowstone National Park,248
Vascular Plant,Androsace septentrionalis ssp. subumbellata,Safe,Yellowstone National Park,266
Amphibian,Aneides lugubris,Safe,Yellowstone National Park,271
Vascular Plant,Anelsonia eurycarpa,Safe,Yellowstone National Park,268
Vascular Plant,Anemone drummondii,Safe,Yellowstone National Park,257
Vascular Plant,Anemone lancifolia,Safe,Yellowstone National Park,273
Vascular Plant,Anemone occidentalis,Safe,Yellowstone National Park,264
