category,scientific_name,conservation_status,park_name,observations
Vascular Plant,Abies bifolia,Safe,Yosemite National Park,136
Vascular Plant,Abies concolor,Safe,Yosemite National Park,205
Vascular Plant,Abies fraseri,Species of Concern,Yosemite National Park,110
Nonvascular Plant,Abietinella abietina,Safe,Yosemite National Park,183
Vascular Plant,Abronia ammophila,Species of Concern,Yosemite National Park,137
Vascular Plant,Abutilon theophrasti,Safe,Yosemite National Park,138
Vascular Plant,Acalypha gracilens,Safe,Yosemite National Park,160
Vascular Plant,Acalypha ostryifolia,Safe,Yosemite National Park,150
Vascular Plant,Acalypha rhomboidea,Safe,Yosemite National Park,144
Vascular Plant,Acalypha virginica,Safe,Yosemite National Park,143
Bird,Acanthus flammea,Safe,Yosemite National Park,120
Bird,Accipiter cooperii,Species of Concern,Yosemite National Park,138
Bird,Accipiter gentilis,Safe,Yosemite National Park,163
Bird,Accipiter striatus,Species of Concern,Yosemite National Park,115
Vascular Plant,Acer glabrum,Safe,Yosemite National Park,124
Vascular Plant,Acer glabrum var. torreyi,Safe,Yosemite National Park,160
Vascular Plant,Acer leucoderme,Safe,Yosemite National Park,140
Vascular Plant,Acer macrophyllum,Safe,Yosemite National Park,134
Vascular Plant,Acer negundo,Safe,Yosemite National Park,179
Vascular Plant,Acer negundo var. violaceum,Safe,Yosemite National Park,164
Vascular Plant,Acer nigrum,Safe,Yosemite National Park,156
Vascular Plant,Acer pensylvanicum,Safe,Yosemite National Park,134
Vascular Plant,Acer platanoides,Safe,Yosemite National Park,189
Vascular Plant,Acer rubrum var. rubrum,Safe,Yosemite National Park,147
Vascular Plant,Acer rubrum var. trilobum,Safe,Yosemite National Park,110
Vascular Plant,Acer saccharinum,Safe,Yosemite National Park,167
Vascular Plant,Acer saccharum,Safe,Yosemite National Park,116
Vascular Plant,Acer spicatum,Safe,Yosemite National Park,143
Vascular Plant,Achillea millefolium,Safe,Yosemite National Park,168
Vascular Plant,Achillea millefolium var. occidentalis,Safe,Yosemite National Park,131
Vascular Plant,Achnatherum contractum,Species of Concern,Yosemite National Park,165
Vascular Plant,Achnatherum hymenoides,Safe,Yosemite National Park,156
Vascular Plant,Achnatherum latiglume,Safe,Yosemite National Park,137
Vascular Plant,Achnatherum lemmonii,Safe,Yosemite National Park,149
Vascular Plant,Achnatherum lettermanii,Safe,Yosemite National Park,129
Vascular Plant,Achnatherum nelsonii ssp. dorei,Safe,Yosemite National Park,151
Vascular Plant,Achnatherum nevadense,Safe,Yosemite National Park,149
Vascular Plant,Achnatherum occidentale,Safe,Yosemite National Park,171
Vascular Plant,Achnatherum occidentale ssp. californicum,Safe,Yosemite National Park,174
Vascular Plant,Achnatherum occidentale ssp. occidentale,Safe,Yosemite National Park,148
Vascular Plant,Achnatherum occidentale ssp. pubescens,Safe,Yosemite National Park,148
Vascular Plant,Achnatherum pinetorum,Safe,Yosemite National Park,129
Vascular Plant,Achnatherum richardsonii,Safe,Yosemite National Park,143
Vascular Plant,Achnatherum thurberianum,Safe,Yosemite National Park,148
Vascular Plant,Achnatherum X bloomeri,Safe,Yosemite National Park,155
Vascular Plant,Aconitum columbianum,Safe,Yosemite National Park,136
Vascular Plant,Aconitum columbianum ssp. columbianum,Safe,Yosemite National Park,162
Vascular Plant,Aconitum uncinatum,Safe,Yosemite National Park,142
Vascular Plant,Acorus calamus,Safe,Yosemite National Park,178
Amphibian,Acris crepitans crepitans,Safe,Yosemite National Park,132
Nonvascular Plant,Acrobolbus ciliatus,Safe,Yosemite National Park,131
Vascular Plant,Actaea pachypoda,Safe,Yosemite National Park,112
Vascular Plant,Actaea rubra,Safe,Yosemite National Park,151
Bird,Actitis macularia,Safe,Yosemite National Park,156
Bird,Actitis macularius,Safe,Yosemite National Park,181
Vascular Plant,Adenocaulon bicolor,Safe,Yosemite National Park,130
Vascular Plant,Adenostoma fasciculatum,Safe,Yosemite National Park,148
Vascular Plant,Adiantum aleuticum,Safe,Yosemite National Park,152
Vascular Plant,Adiantum jordanii,Safe,Yosemite National Park,155
Vascular Plant,Adiantum pedatum,Safe,Yosemite National Park,127
Vascular Plant,Adlumia fungosa,Safe,Yosemite National Park,144
Vascular Plant,Adoxa moschatellina,Safe,Yosemite National Park,155
Bird,Aechmophorus clarkii,Safe,Yosemite National Park,166
Bird,Aechmophorus occidentalis,Species of Concern,Yosemite National Park,132
Vascular Plant,Aegilops cylindrica,Safe,Yosemite National Park,149
Bird,Aegolius,Safe,Yosemite National Park,191
Bird,Aegolius acadicus,Safe,Yosemite National Park,91
Bird,Aegolius funereus,Safe,Yosemite National Park,167
Vascular Plant,Aegopodium podagraria,Safe,Yosemite National Park,198
Bird,Aeronautes saxatalis,Safe,Yosemite National Park,178
Vascular Plant,Aesculus californica,Safe,Yosemite National Park,128
Vascular Plant,Aesculus flava,Safe,Yosemite National Park,119
Vascular Plant,Aesculus glabra,Safe,Yosemite National Park,163
Vascular Plant,Aesculus pavia,Safe,Yosemite National Park,164
Vascular Plant,Aesculus sylvatica,Safe,Yosemite National Park,157
Vascular Plant,Agalinis purpurea,Safe,Yosemite National Park,176
Vascular Plant,Agalinis setacea,Safe,Yosemite National Park,190
Vascular Plant,Agalinis tenuifolia,Safe,Yosemite National Park,145
Vascular Plant,Agastache nepetoides,Safe,Yosemite National Park,144
Vascular Plant,Agastache scrophulariifolia,Safe,Yosemite National Park,133
Vascular Plant,Agastache urticifolia,Safe,Yosemite National Park,144
Bird,Agelaius phoeniceus,Safe,Yosemite National Park,155
Vascular Plant,Ageratina altissima,Safe,Yosemite National Park,178
Vascular Plant,Ageratina altissima var. altissima,Safe,Yosemite National Park,152
Vascular Plant,Ageratina altissima var. roanensis,Safe,Yosemite National Park,139
Vascular Plant,Ageratina aromatica var. aromatica,Safe,Yosemite National Park,117
Vascular Plant,Ageratina occidentalis,Safe,Yosemite National Park,146
Reptile,Agkistrodon contortrix mokasen,Safe,Yosemite National Park,152
Vascular Plant,Agoseris aurantiaca,Safe,Yosemite National Park,146
Vascular Plant,Agoseris elata,Safe,Yosemite National Park,130
Vascular Plant,Agoseris glauca var. dasycephala,Safe,Yosemite National Park,154
Vascular Plant,Agoseris glauca var. glauca,Safe,Yosemite National Park,169
Vascular Plant,Agoseris glauca var. laciniata,Safe,Yosemite National Park,146
Vascular Plant,Agoseris glauca var. monticola,Safe,Yosemite National Park,138
Vascular Plant,Agoseris grandiflora,Safe,Yosemite National Park,181
Vascular Plant,Agoseris heterophylla,Safe,Yosemite National Park,147
Vascular Plant,Agoseris lackschewitzii,Safe,Yosemite National Park,138
Vascular Plant,Agoseris retrorsa,Safe,Yosemite National Park,118
Vascular Plant,Agrimonia gryposepala,Safe,Yosemite National Park,145
Vascular Plant,Agrimonia microcarpa,Safe,Yosemite National Park,126
Vascular Plant,Agrimonia parviflora,Safe,Yosemite National Park,168
Vascular Plant,Agrimonia pubescens,Safe,Yosemite National Park,154
Vascular Plant,Agrimonia rostellata,Safe,Yosemite National Park,148
Vascular Plant,Agrostemma githago,Safe,Yosemite National Park,186
Vascular Plant,Agrostis capillaris,Safe,Yosemite National Park,182
Vascular Plant,Agrostis capillaris,Safe,Yosemite National Park,140
Vascular Plant,Agrostis elliottiana,Safe,Yosemite National Park,163
Vascular Plant,Agrostis exarata,Safe,Yosemite National Park,116
Vascular Plant,Agrostis gigantea,Safe,Yosemite National Park,148
Vascular Plant,Agrostis gigantea,Safe,Yosemite National Park,128
Vascular Plant,Agrostis humilis,Safe,Yosemite National Park,179
Vascular Plant,Agrostis hyemalis,Safe,Yosemite National Park,152
Vascular Plant,Agrostis idahoensis,Safe,Yosemite National Park,144
Vascular Plant,Agrostis mertensii,Safe,Yosemite National Park,135
Vascular Plant,Agrostis mertensii,Safe,Yosemite National Park,128
Vascular Plant,Agrostis oregonensis,Safe,Yosemite National Park,139
Vascular Plant,Agrostis pallens,Safe,Yosemite National Park,163
Vascular Plant,Agrostis perennans,Safe,Yosemite National Park,151
Vascular Plant,Agrostis rossiae,Safe,Yosemite National Park,192
Vascular Plant,Agrostis scabra,Safe,Yosemite National Park,162
Vascular Plant,Agrostis scabra,Safe,Yosemite National Park,170
Vascular Plant,Agrostis scabra var. scabra,Safe,Yosemite National Park,125
Vascular Plant,Agrostis stolonifera,Safe,Yosemite National Park,122
Vascular Plant,Agrostis stolonifera,Safe,Yosemite National Park,156
Vascular Plant,Agrostis thurberiana,Safe,Yosemite National Park,154
Vascular Plant,Agrostis variabilis,Safe,Yosemite National Park,183
Vascular Plant,Agrostis variabilis,Safe,Yosemite National Park,199
Vascular Plant,Ailanthus altissima,Safe,Yosemite National Park,148
Bird,Aimophila aestivalis,Species of Concern,Yosemite National Park,146
Bird,Aimophila ruficeps,Safe,Yosemite National Park,166
Vascular Plant,Aira caryophyllea,Safe,Yosemite National Park,150
Bird,Aix sponsa,Safe,Yosemite National Park,152
Vascular Plant,Ajuga reptans,Safe,Yosemite National Park,155
Vascular Plant,Albizia julibrissin,Safe,Yosemite National Park,148
Vascular Plant,Alcea rosea,Safe,Yosemite National Park,128
Mammal,Alces alces,Safe,Yosemite National Park,161
Mammal,Alces alces shirasi,Safe,Yosemite National Park,168
Bird,Alectoris chukar,Safe,Yosemite National Park,159
Bird,Alectoris chukar,Safe,Yosemite National Park,128
Vascular Plant,Aletris farinosa,Safe,Yosemite National Park,170
Vascular Plant,Alisma plantago-aquatica,Safe,Yosemite National Park,140
Vascular Plant,Alisma subcordatum,Safe,Yosemite National Park,159
Vascular Plant,Alisma triviale,Safe,Yosemite National Park,174
Vascular Plant,Alliaria petiolata,Safe,Yosemite National Park,150
Vascular Plant,Allium ampeloprasum,Safe,Yosemite National Park,139
Vascular Plant,Allium amplectens,Safe,Yosemite National Park,167
Vascular Plant,Allium bisceptrum var. bisceptrum,Safe,Yosemite National Park,145
Vascular Plant,Allium brandegeei,Safe,Yosemite National Park,170
Vascular Plant,Allium brevistylum,Safe,Yosemite National Park,168
Vascular Plant,Allium burdickii,Safe,Yosemite National Park,150
Vascular Plant,Allium campanulatum,Safe,Yosemite National Park,166
Vascular Plant,Allium canadense,Safe,Yosemite National Park,172
Vascular Plant,Allium cernuum,Safe,Yosemite National Park,146
Vascular Plant,Allium cernuum var. cernuum,Safe,Yosemite National Park,143
Vascular Plant,Allium geyeri var. tenerum,Safe,Yosemite National Park,137
Vascular Plant,Allium hyalinum,Safe,Yosemite National Park,140
Vascular Plant,Allium obtusum,Safe,Yosemite National Park,157
Vascular Plant,Allium obtusum var. conspicuum,Safe,Yosemite National Park,119
Vascular Plant,Allium obtusum var. obtusum,Safe,Yosemite National Park,130
Vascular Plant,Allium schoenoprasum,Safe,Yosemite National Park,143
Vascular Plant,Allium textile,Safe,Yosemite National Park,181
Vascular Plant,Allium tribracteatum,Species of Concern,Yosemite National Park,135
Vascular Plant,Allium tricoccum,Safe,Yosemite National Park,184
Vascular Plant,Allium validum,Safe,Yosemite National Park,159
Vascular Plant,Allium vineale,Safe,Yosemite National Park,166
